Bytes en orden Big Endian:
Cada línea representa una instrucción (4 bytes)
==================================================
Instr 1: 00 64 50 20   |   00000000 01100100 01010000 00100000
Instr 2: 01 09 40 22   |   00000001 00001001 01000000 00100010
Instr 3: 00 41 10 25   |   00000000 01000001 00010000 00100101
Instr 4: 01 8D 78 20   |   00000001 10001101 01111000 00100000
Instr 5: 00 A6 38 22   |   00000000 10100110 00111000 00100010
Instr 6: 01 D0 58 25   |   00000001 11010000 01011000 00100101
Instr 7: 00 43 08 20   |   00000000 01000011 00001000 00100000
Instr 8: 00 A6 20 22   |   00000000 10100110 00100000 00100010
Instr 9: 01 09 38 25   |   00000001 00001001 00111000 00100101
Instr 10: 02 53 88 20   |   00000010 01010011 10001000 00100000
Instr 11: 02 B6 A0 22   |   00000010 10110110 10100000 00100010
Instr 12: 03 19 B8 25   |   00000011 00011001 10111000 00100101
Instr 13: 00 64 50 20   |   00000000 01100100 01010000 00100000
Instr 14: 03 7C D0 20   |   00000011 01111100 11010000 00100000
Instr 15: 03 DF E8 22   |   00000011 11011111 11101000 00100010
Instr 16: 00 22 00 25   |   00000000 00100010 00000000 00100101
